## THIS IS A LIST OF RULES FOR THE RESOLUTION OF TITLI IN CHURCH SLAVONIC
## LINES BEGINNING WITH # ARE IGNORED
## COLUMNS ARE SEPARATED BY TAB
## Symbol "." (dot) in pattern means that word break is required here
гг҃л	нгел
Цр҃ков	Це́рков
цр҃ко́в	церко́в
Цр҃ко́в	Церко́в
цр҃кѡ́в	церкѡ́в
Цр҃кѡ́в	Церкѡ́в
цр҃с	ца́рс
Цр҃с	Ца́рс
цр҃ц	цари́ц
Цр҃ц	Цари́ц
цр҃ь	ца́рь
Цр҃ь	Ца́рь
цр҃ѣ	царѣ
Цр҃ѣ	Царѣ
цр҃ю	царю
Цр҃ю	Царю
цр҃ѧ	царѧ
Цр҃ѧ	Царѧ
црⷭ҇к	ца́рск
Црⷭ҇к	Ца́рск
црⷭ҇т	ца́рст
Црⷭ҇т	Ца́рст
чеⷦ҇	человѣ́къ
Чеⷦ҇	Человѣ́къ
чл҃вѣ	человѣ
Чл҃вѣ	Человѣ
чл҃к	человѣк
Чл҃к	Человѣк
чтⷭ҇а	чи́ста
Чтⷭ҇а	Чи́ста
чтⷭ҇е	че́сте
Чтⷭ҇е	Че́сте
чтⷭ҇ї	чи́стї
Чтⷭ҇ї	Чи́стї
чтⷭ҇н	че́стн
Чтⷭ҇н	Че́стн
чтⷭ҇о	чи́сто
Чтⷭ҇о	Чи́сто
чтⷭ҇ꙋ	чи́стꙋ
Чтⷭ҇ꙋ	Чи́стꙋ
чтⷭ҇ъ	чи́стъ
Чтⷭ҇ъ	Чи́стъ
чтⷭ҇ы	чи́сты
Чтⷭ҇ы	Чи́сты
чтⷭ҇ь	че́сть
Чтⷭ҇ь	Че́сть
чтⷭ҇ѣ	чи́стѣ
Чтⷭ҇ѣ	Чи́стѣ
чⷭ҇та	чи́ста
Чⷭ҇та	Чи́ста
чⷭ҇те	че́сте
Чⷭ҇те	Че́сте
чⷭ҇тї	чи́стї
Чⷭ҇тї	Чи́стї
чⷭ҇тн	че́стн
Чⷭ҇тн	Че́стн
чⷭ҇то	чи́сто
Чⷭ҇то	Чи́сто
чⷭ҇тꙋ	чи́стꙋ
Чⷭ҇тꙋ	Чи́стꙋ
чⷭ҇ты	чи́сты
Чⷭ҇ты	Чи́сты
чⷭ҇тѣ	чи́стѣ
Чⷭ҇тѣ	Чи́стѣ
